Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2010,Porto Belo,Arrasto duplo,Bagre,"40,00",1
2010,Porto Belo,Arrasto duplo,Betara,"960,00",5
2010,Porto Belo,Arrasto duplo,Cabra,"2.100,00",3
2010,Porto Belo,Arrasto duplo,Camarão-barba-ruça,"82.805,00",6
2010,Porto Belo,Arrasto duplo,Camarão-rosa,"590,00",2
2010,Porto Belo,Arrasto duplo,Camarão-santana,"6.008,00",5
2010,Porto Belo,Arrasto duplo,Castanha,"800,00",2
2010,Porto Belo,Arrasto duplo,Corcoroca,"100,00",2
2010,Porto Belo,Arrasto duplo,Corvina,"29.480,00",4
2010,Porto Belo,Arrasto duplo,Emplastro,"1.140,00",4
2010,Porto Belo,Arrasto duplo,Goete,"620,00",2
2010,Porto Belo,Arrasto duplo,Guaivira,"20,00",1
2010,Porto Belo,Arrasto duplo,Linguado,"805,00",4
2010,Porto Belo,Arrasto duplo,Linguado-areia,"140,00",1
2010,Porto Belo,Arrasto duplo,Lula,"150,00",1
2010,Porto Belo,Arrasto duplo,Mangangá,"100,00",1
2010,Porto Belo,Arrasto duplo,Maria-luiza,"920,00",4
2010,Porto Belo,Arrasto duplo,Merluza,"20,00",1
2010,Porto Belo,Arrasto duplo,Miracéu,"20,00",1
2010,Porto Belo,Arrasto duplo,Mistura,"2.592,00",6
2010,Porto Belo,Arrasto duplo,Peixe-porco,"80,00",1
2010,Porto Belo,Arrasto duplo,Peixe-sapo,"20,00",1
2010,Porto Belo,Arrasto duplo,Pescada,"240,00",1
2010,Porto Belo,Arrasto duplo,Pescadinha-real,"2.340,00",5
2010,Porto Belo,Arrasto duplo,Polvo,"20,00",1
2010,Porto Belo,Arrasto duplo,Raia,"40,00",2
2010,Porto Belo,Arrasto duplo,Tira-vira,"20,00",1
2011,Itajaí,Arrasto de parelha,Abrótea,"15.570,00",12
2011,Itajaí,Arrasto de parelha,Bagre,"8.440,00",8
2011,Itajaí,Arrasto de parelha,Betara,"14.440,00",11
2011,Itajaí,Arrasto de parelha,Cabra,"26.720,00",14
2011,Itajaí,Arrasto de parelha,Cação-anjo,"500,00",1
2011,Itajaí,Arrasto de parelha,Castanha,"417.530,00",18
2011,Itajaí,Arrasto de parelha,Corcoroca,"3.400,00",4
2011,Itajaí,Arrasto de parelha,Corvina,"412.900,00",26
2011,Itajaí,Arrasto de parelha,Emplastro,"29.180,00",13
2011,Itajaí,Arrasto de parelha,Enchova,"4.090,00",5
2011,Itajaí,Arrasto de parelha,Enguia,"40,00",1
2011,Itajaí,Arrasto de parelha,Espada,"2.130,00",5
2011,Itajaí,Arrasto de parelha,Galo,"500,00",1
2011,Itajaí,Arrasto de parelha,Garoupa,"220,00",2
2011,Itajaí,Arrasto de parelha,Goete,"222.980,00",14
2011,Itajaí,Arrasto de parelha,Gordinho,"31.440,00",14
2011,Itajaí,Arrasto de parelha,Guaivira,"120,00",1
2011,Itajaí,Arrasto de parelha,Linguado,"6.240,00",13
2011,Itajaí,Arrasto de parelha,Linguado-areia,"840,00",2
2011,Itajaí,Arrasto de parelha,Linguado-vermelho,"300,00",1
2011,Itajaí,Arrasto de parelha,Lula,"950,00",5
2011,Itajaí,Arrasto de parelha,Mangangá,"3.140,00",5
2011,Itajaí,Arrasto de parelha,Maria-luiza,"180,00",2
2011,Itajaí,Arrasto de parelha,Maria-mole,"467.400,00",18
2011,Itajaí,Arrasto de parelha,Merluza,"1.000,00",1
2011,Itajaí,Arrasto de parelha,Mistura,"122.570,00",17
2011,Itajaí,Arrasto de parelha,Pampo,"400,00",1
2011,Itajaí,Arrasto de parelha,Pargo-rosa,"60,00",1
2011,Itajaí,Arrasto de parelha,Peixe-porco,"9.160,00",7
2011,Itajaí,Arrasto de parelha,Peixe-sapo,"498,00",3
2011,Itajaí,Arrasto de parelha,Peixe-tábua,"3.000,00",1
2011,Itajaí,Arrasto de parelha,Pescada,"500,00",1
2011,Itajaí,Arrasto de parelha,Pescada-amarela,"32.000,00",6
2011,Itajaí,Arrasto de parelha,Pescada-branca,"1.000,00",1
2011,Itajaí,Arrasto de parelha,Pescada-cambucu,"220,00",2
2011,Itajaí,Arrasto de parelha,Pescadinha-real,"36.260,00",9
2011,Itajaí,Arrasto de parelha,Polvo,"33,00",2
2011,Itajaí,Arrasto de parelha,Raia,"3.850,00",6
2011,Itajaí,Arrasto de parelha,Robalo,"100,00",1
2011,Itajaí,Arrasto de parelha,Roncador,"500,00",1
2011,Itajaí,Arrasto de parelha,Sapateira,"100,00",1
2011,Itajaí,Arrasto de parelha,Tira-vira,"480,00",2
2011,Itajaí,Arrasto duplo,Abrótea,"308.740,00",157
2011,Itajaí,Arrasto duplo,Abrótea-de-fundo,"1.372.415,00",102
2011,Itajaí,Arrasto duplo,Bagre,"2.050,00",16
2011,Itajaí,Arrasto duplo,Batata,"35.710,00",65
2011,Itajaí,Arrasto duplo,Betara,"20.985,00",76
2011,Itajaí,Arrasto duplo,Cabra,"436.970,00",179
2011,Itajaí,Arrasto duplo,Cação-anjo,"780,00",1
2011,Itajaí,Arrasto duplo,Cação-bagre,"2.370,00",9
2011,Itajaí,Arrasto duplo,Cação-gato,"1.100,00",4
2011,Itajaí,Arrasto duplo,Cações,"750,00",4
2011,Itajaí,Arrasto duplo,Caçonete,"180,00",2
2011,Itajaí,Arrasto duplo,Calamar-argentino,"23.530,00",32
2011,Itajaí,Arrasto duplo,Camarão-barba-ruça,"304.130,00",48
2011,Itajaí,Arrasto duplo,Camarão-branco,"5.000,00",29
2011,Itajaí,Arrasto duplo,Camarão-cristalino,"40.996,00",27
2011,Itajaí,Arrasto duplo,Camarão-rosa,"119.048,00",112
2011,Itajaí,Arrasto duplo,Camarão-santana,"51.104,00",36
2011,Itajaí,Arrasto duplo,Camarão-santana + barba-ruca,"4.000,00",1
2011,Itajaí,Arrasto duplo,Camarão-sete-barbas,"221.059,00",35
2011,Itajaí,Arrasto duplo,Cangoá,"680,00",2
2011,Itajaí,Arrasto duplo,Castanha,"295.480,00",107
2011,Itajaí,Arrasto duplo,Cherne,"40,00",1
2011,Itajaí,Arrasto duplo,Cherne-galha-amarela,"30,00",1
2011,Itajaí,Arrasto duplo,Cherne-poveiro,"10,00",1
2011,Itajaí,Arrasto duplo,Congro,"880,00",2
2011,Itajaí,Arrasto duplo,Congro-rosa,"123.579,00",125
2011,Itajaí,Arrasto duplo,Corcoroca,"500,00",6
2011,Itajaí,Arrasto duplo,Corvina,"84.450,00",107
2011,Itajaí,Arrasto duplo,Emplastro,"429.430,00",230
2011,Itajaí,Arrasto duplo,Enchova,"2.150,00",4
2011,Itajaí,Arrasto duplo,Enguia,"9.960,00",52
2011,Itajaí,Arrasto duplo,Espada,"9.760,00",53
2011,Itajaí,Arrasto duplo,Ferrinho,"84.230,00",38
2011,Itajaí,Arrasto duplo,Galo,"3.200,00",4
2011,Itajaí,Arrasto duplo,Galo-de-profundidade,"29.725,00",30
2011,Itajaí,Arrasto duplo,Garoupa,"20,00",1
2011,Itajaí,Arrasto duplo,Goete,"15.510,00",36
2011,Itajaí,Arrasto duplo,Gordinho,"2.480,00",15
2011,Itajaí,Arrasto duplo,Guaivira,"200,00",1
2011,Itajaí,Arrasto duplo,Linguado,"387.257,00",121
2011,Itajaí,Arrasto duplo,Linguado-areia,"260.620,00",161
2011,Itajaí,Arrasto duplo,Linguado-vermelho,"2.770,00",12
2011,Itajaí,Arrasto duplo,Lula,"104.081,00",51
2011,Itajaí,Arrasto duplo,Machote,"500,00",1
2011,Itajaí,Arrasto duplo,Mangangá,"78.450,00",84
2011,Itajaí,Arrasto duplo,Maria-luiza,"22.250,00",11
2011,Itajaí,Arrasto duplo,Maria-mole,"206.290,00",124
2011,Itajaí,Arrasto duplo,Merluza,"604.355,00",124
2011,Itajaí,Arrasto duplo,Miracéu,"60,00",2
2011,Itajaí,Arrasto duplo,Mistura,"586.373,00",236
2011,Itajaí,Arrasto duplo,Namorado,"2.973,00",28
2011,Itajaí,Arrasto duplo,Não discriminado,"20,00",1
2011,Itajaí,Arrasto duplo,Olho-de-boi,"20,00",1
2011,Itajaí,Arrasto duplo,Olho-de-cão,"100,00",1
2011,Itajaí,Arrasto duplo,Papa-moscas,"99.900,00",18
2011,Itajaí,Arrasto duplo,Pargo-rosa,"1.100,00",8
2011,Itajaí,Arrasto duplo,Paru,"20,00",1
2011,Itajaí,Arrasto duplo,Peixe-porco,"146.005,00",63
2011,Itajaí,Arrasto duplo,Peixe-sapo,"429.396,00",186
2011,Itajaí,Arrasto duplo,Pescada,"24.740,00",11
2011,Itajaí,Arrasto duplo,Pescada-amarela,"8.260,00",12
2011,Itajaí,Arrasto duplo,Pescadinha-real,"10.950,00",17
2011,Itajaí,Arrasto duplo,Pitú,"30.391,00",51
2011,Itajaí,Arrasto duplo,Polvo,"25.424,00",100
2011,Itajaí,Arrasto duplo,Raia,"14.567,00",33
2011,Itajaí,Arrasto duplo,Ratinho,"500,00",1
2011,Itajaí,Arrasto duplo,Sapateira,"3.703,00",36
2011,Itajaí,Arrasto duplo,Sarrão,"27.170,00",18
2011,Itajaí,Arrasto duplo,Tira-vira,"119.250,00",102
2011,Itajaí,Arrasto duplo,Trilha,"13.160,00",59
2011,Itajaí,Arrasto duplo,Trombeta,"50,00",1
2011,Itajaí,Arrasto simples,Abrótea,"62.820,00",76
2011,Itajaí,Arrasto simples,Abrótea-de-fundo,"56.450,00",21
2011,Itajaí,Arrasto simples,Bagre,"5.710,00",31
2011,Itajaí,Arrasto simples,Baiacú,"700,00",4
2011,Itajaí,Arrasto simples,Batata,"1.670,00",5
2011,Itajaí,Arrasto simples,Betara,"4.560,00",22
2011,Itajaí,Arrasto simples,Cabra,"1.953.510,00",106
2011,Itajaí,Arrasto simples,Cação-bagre,"3.000,00",5
2011,Itajaí,Arrasto simples,Cação-cola-fina,"50,00",1
2011,Itajaí,Arrasto simples,Cação-gato,"4.350,00",11
2011,Itajaí,Arrasto simples,Cações,"2.210,00",6
2011,Itajaí,Arrasto simples,Caçonete,"8.610,00",8
2011,Itajaí,Arrasto simples,Calamar-argentino,"350,00",2
2011,Itajaí,Arrasto simples,Cangoá,"4.060,00",15
2011,Itajaí,Arrasto simples,Castanha,"1.246.930,00",94
2011,Itajaí,Arrasto simples,Cherne,"130,00",1
2011,Itajaí,Arrasto simples,Congro,"919,00",4
2011,Itajaí,Arrasto simples,Congro-rosa,"15.911,00",45
2011,Itajaí,Arrasto simples,Corcoroca,"40,00",1
2011,Itajaí,Arrasto simples,Corvina,"198.850,00",71
2011,Itajaí,Arrasto simples,Emplastro,"404.658,00",105
2011,Itajaí,Arrasto simples,Enchova,"1.600,00",8
2011,Itajaí,Arrasto simples,Enguia,"3.340,00",31
2011,Itajaí,Arrasto simples,Espada,"35.950,00",80
2011,Itajaí,Arrasto simples,Galo,"2.020,00",2
2011,Itajaí,Arrasto simples,Goete,"49.760,00",45
2011,Itajaí,Arrasto simples,Gordinho,"5.840,00",34
2011,Itajaí,Arrasto simples,Guaivira,"2.780,00",4
2011,Itajaí,Arrasto simples,Linguado,"31.262,00",30
2011,Itajaí,Arrasto simples,Linguado-areia,"159.610,00",85
2011,Itajaí,Arrasto simples,Linguado-vermelho,"250,00",1
2011,Itajaí,Arrasto simples,Lula,"30.370,00",6
2011,Itajaí,Arrasto simples,Mangangá,"16.070,00",43
2011,Itajaí,Arrasto simples,Maria-luiza,"300,00",6
2011,Itajaí,Arrasto simples,Maria-mole,"382.320,00",83
2011,Itajaí,Arrasto simples,Merluza,"84.660,00",81
2011,Itajaí,Arrasto simples,Mistura,"88.017,00",82
2011,Itajaí,Arrasto simples,Namorado,"30,00",3
2011,Itajaí,Arrasto simples,Olho-de-boi,"40,00",1
2011,Itajaí,Arrasto simples,Papa-moscas,"860,00",9
2011,Itajaí,Arrasto simples,Pargo-rosa,"1.120,00",15
2011,Itajaí,Arrasto simples,Peixe-porco,"1.560,00",8
2011,Itajaí,Arrasto simples,Peixe-sapo,"55.391,00",90
2011,Itajaí,Arrasto simples,Pescada,"140,00",1
2011,Itajaí,Arrasto simples,Pescada-amarela,"5.160,00",2
2011,Itajaí,Arrasto simples,Pescada-cambucu,"20,00",1
2011,Itajaí,Arrasto simples,Polvo,"780,00",6
2011,Itajaí,Arrasto simples,Raia,"5.843,00",18
2011,Itajaí,Arrasto simples,Raia-viola,"140,00",1
2011,Itajaí,Arrasto simples,Ratinho,"300,00",1
2011,Itajaí,Arrasto simples,Roncador,"190,00",2
2011,Itajaí,Arrasto simples,Sapateira,"20,00",1
2011,Itajaí,Arrasto simples,Tira-vira,"19.531,00",54
2011,Itajaí,Arrasto simples,Trilha,"21.148,00",68
2011,Itajaí,Arrasto simples,Trombeta,"10,00",1
2011,Laguna,Arrasto de parelha,Abrótea,"3.000,00",2
2011,Laguna,Arrasto de parelha,Castanha,"17.000,00",3
2011,Laguna,Arrasto de parelha,Corvina,"149.000,00",7
2011,Laguna,Arrasto de parelha,Emplastro,"2.000,00",1
2011,Laguna,Arrasto de parelha,Espada,"2.000,00",2
2011,Laguna,Arrasto de parelha,Goete,"53.000,00",3
2011,Laguna,Arrasto de parelha,Gordinho,"1.000,00",1
2011,Laguna,Arrasto de parelha,Linguado,"1.500,00",1
2011,Laguna,Arrasto de parelha,Maria-mole,"54.000,00",4
2011,Laguna,Arrasto de parelha,Mistura,"23.500,00",4
2011,Laguna,Arrasto de parelha,Não discriminado,"2.372.350,00",46
2011,Laguna,Arrasto de parelha,Pescada,"50.000,00",2
2011,Laguna,Arrasto de parelha,Pescada-amarela,"45.000,00",2
2011,Laguna,Arrasto de parelha,Raia,"2.000,00",1
2011,Laguna,Arrasto de parelha,Tainha,"1.000,00",1
2011,Laguna,Arrasto duplo,Não discriminado,"767.132,00",28
2011,Laguna,Arrasto simples,Abrótea,"2.500,00",2
2011,Laguna,Arrasto simples,Betara,"4.000,00",2
2011,Laguna,Arrasto simples,Cabra,"10.000,00",2
2011,Laguna,Arrasto simples,Corvina,"10.000,00",2
2011,Laguna,Arrasto simples,Emplastro,"12.000,00",2
2011,Laguna,Arrasto simples,Espada,"500,00",1
2011,Laguna,Arrasto simples,Goete,"500,00",1
2011,Laguna,Arrasto simples,Linguado,"13.500,00",3
2011,Laguna,Arrasto simples,Linguado-vermelho,"1.000,00",1
2011,Laguna,Arrasto simples,Maria-mole,"10.000,00",3
2011,Laguna,Arrasto simples,Mistura,"5.700,00",3
2011,Laguna,Arrasto simples,Não discriminado,"447.610,00",15
2011,Laguna,Arrasto simples,Peixe-porco,"22.000,00",3
2011,Laguna,Arrasto simples,Pescada,"6.000,00",2
2011,Laguna,Arrasto simples,Polvo,"1.300,00",2
2011,Navegantes,Arrasto de parelha,Abrótea,"6.280,00",15
2011,Navegantes,Arrasto de parelha,Bagre,"23.390,00",21
2011,Navegantes,Arrasto de parelha,Batata-da-pedra,"460,00",2
2011,Navegantes,Arrasto de parelha,Betara,"10.096,00",16
2011,Navegantes,Arrasto de parelha,Cabra,"42.886,00",20
2011,Navegantes,Arrasto de parelha,Cação-anjo,"220,00",1
2011,Navegantes,Arrasto de parelha,Caçonete,"163,00",2
2011,Navegantes,Arrasto de parelha,Castanha,"853.185,00",23
2011,Navegantes,Arrasto de parelha,Cioba,"500,00",1
2011,Navegantes,Arrasto de parelha,Congro-rosa,"5,00",1
2011,Navegantes,Arrasto de parelha,Corcoroca,"5.970,00",5
2011,Navegantes,Arrasto de parelha,Corvina,"400.503,00",30
2011,Navegantes,Arrasto de parelha,Emplastro,"29.050,00",20
2011,Navegantes,Arrasto de parelha,Enchova,"1.172,00",9
2011,Navegantes,Arrasto de parelha,Enguia,"100,00",3
2011,Navegantes,Arrasto de parelha,Espada,"1.515,00",4
2011,Navegantes,Arrasto de parelha,Galo,"240,00",2
2011,Navegantes,Arrasto de parelha,Goete,"191.770,00",22
2011,Navegantes,Arrasto de parelha,Gordinho,"23.242,00",15
2011,Navegantes,Arrasto de parelha,Guaivira,"750,00",3
2011,Navegantes,Arrasto de parelha,Linguado,"11.531,00",20
2011,Navegantes,Arrasto de parelha,Linguado-areia,"1.160,00",6
2011,Navegantes,Arrasto de parelha,Linguado-vermelho,"562,00",4
2011,Navegantes,Arrasto de parelha,Lula,"605,00",4
2011,Navegantes,Arrasto de parelha,Mangangá,"1.530,00",6
2011,Navegantes,Arrasto de parelha,Maria-luiza,"7.340,00",6
2011,Navegantes,Arrasto de parelha,Maria-mole,"537.190,00",23
2011,Navegantes,Arrasto de parelha,Merluza,"60,00",1
2011,Navegantes,Arrasto de parelha,Miracéu,"40,00",1
2011,Navegantes,Arrasto de parelha,Mistura,"105.665,00",16
2011,Navegantes,Arrasto de parelha,Oveva,"2.000,00",1
2011,Navegantes,Arrasto de parelha,Pampo,"60,00",2
2011,Navegantes,Arrasto de parelha,Peixe-porco,"10.398,00",8
2011,Navegantes,Arrasto de parelha,Peixe-sapo,"283,00",2
2011,Navegantes,Arrasto de parelha,Pescada,"1.000,00",1
2011,Navegantes,Arrasto de parelha,Pescada-amarela,"35.666,00",4
2011,Navegantes,Arrasto de parelha,Pescada-bicuda,"4.000,00",4
2011,Navegantes,Arrasto de parelha,Pescada-cambucu,"60,00",1
2011,Navegantes,Arrasto de parelha,Pescadinha-real,"16.115,00",7
2011,Navegantes,Arrasto de parelha,Polvo,"70,00",2
2011,Navegantes,Arrasto de parelha,Raia,"2.720,00",6
2011,Navegantes,Arrasto de parelha,Raia-viola,"500,00",1
2011,Navegantes,Arrasto de parelha,Roncador,"3.200,00",2
2011,Navegantes,Arrasto de parelha,Sapateira,"100,00",1
2011,Navegantes,Arrasto de parelha,Savelha,"80,00",1
2011,Navegantes,Arrasto de parelha,Tainha,"200,00",1
2011,Navegantes,Arrasto de parelha,Tira-vira,"4.085,00",9
2011,Navegantes,Arrasto duplo,Abrótea,"309.012,00",170
2011,Navegantes,Arrasto duplo,Abrótea-de-fundo,"2.523.715,00",162
2011,Navegantes,Arrasto duplo,Bagre,"1.410,00",15
2011,Navegantes,Arrasto duplo,Batata,"46.960,00",96
2011,Navegantes,Arrasto duplo,Betara,"13.245,00",79
2011,Navegantes,Arrasto duplo,Cabra,"325.090,00",201
2011,Navegantes,Arrasto duplo,Cação-anjo,"195,00",6
2011,Navegantes,Arrasto duplo,Cação-bagre,"1.750,00",12
2011,Navegantes,Arrasto duplo,Cação-gato,"1.100,00",2
2011,Navegantes,Arrasto duplo,Cações,"800,00",6
2011,Navegantes,Arrasto duplo,Caçonete,"550,00",4
2011,Navegantes,Arrasto duplo,Calamar-argentino,"66.607,00",59
2011,Navegantes,Arrasto duplo,Camarão-barba-ruça,"1.336.535,00",135
2011,Navegantes,Arrasto duplo,Camarão-branco,"11.752,00",112
2011,Navegantes,Arrasto duplo,Camarão-cristalino,"113.010,00",56
2011,Navegantes,Arrasto duplo,Camarão-rosa,"285.751,00",250
2011,Navegantes,Arrasto duplo,Camarão-santana,"144.307,00",119
2011,Navegantes,Arrasto duplo,Camarão-santana + barba-ruca,"36.935,00",5
2011,Navegantes,Arrasto duplo,Camarão-sete-barbas,"1.135.228,00",168
2011,Navegantes,Arrasto duplo,Castanha,"168.920,00",57
2011,Navegantes,Arrasto duplo,Cherne,"10,00",1
2011,Navegantes,Arrasto duplo,Congro,"520,00",2
2011,Navegantes,Arrasto duplo,Congro-rosa,"183.476,00",200
2011,Navegantes,Arrasto duplo,Corcoroca,"1.390,00",11
2011,Navegantes,Arrasto duplo,Corvina,"29.800,00",73
2011,Navegantes,Arrasto duplo,Emplastro,"276.320,00",259
2011,Navegantes,Arrasto duplo,Enchova,"150,00",2
2011,Navegantes,Arrasto duplo,Enguia,"4.300,00",50
2011,Navegantes,Arrasto duplo,Espada,"4.549,00",39
2011,Navegantes,Arrasto duplo,Ferrinho,"93.665,00",71
2011,Navegantes,Arrasto duplo,Galo,"600,00",1
2011,Navegantes,Arrasto duplo,Galo-de-profundidade,"60.560,00",53
2011,Navegantes,Arrasto duplo,Goete,"8.655,00",34
2011,Navegantes,Arrasto duplo,Gordinho,"2.660,00",21
2011,Navegantes,Arrasto duplo,Guaivira,"70,00",1
2011,Navegantes,Arrasto duplo,Linguado,"173.449,00",83
2011,Navegantes,Arrasto duplo,Linguado-areia,"294.120,00",201
2011,Navegantes,Arrasto duplo,Linguado-vermelho,"1.820,00",6
2011,Navegantes,Arrasto duplo,Lula,"168.116,00",87
2011,Navegantes,Arrasto duplo,Mangangá,"29.270,00",68
2011,Navegantes,Arrasto duplo,Maria-luiza,"6.480,00",17
2011,Navegantes,Arrasto duplo,Maria-mole,"82.945,00",79
2011,Navegantes,Arrasto duplo,Merluza,"1.356.985,00",194
2011,Navegantes,Arrasto duplo,Miracéu,"500,00",1
2011,Navegantes,Arrasto duplo,Mistura,"798.665,00",348
2011,Navegantes,Arrasto duplo,Namorado,"3.138,00",34
2011,Navegantes,Arrasto duplo,Olho-de-boi,"50,00",1
2011,Navegantes,Arrasto duplo,Olho-de-cão,"40,00",1
2011,Navegantes,Arrasto duplo,Papa-moscas,"43.500,00",7
2011,Navegantes,Arrasto duplo,Pargo-rosa,"170,00",4
2011,Navegantes,Arrasto duplo,Peixe-porco,"19.769,00",36
2011,Navegantes,Arrasto duplo,Peixe-sapo,"566.915,00",260
2011,Navegantes,Arrasto duplo,Pescada,"4.644,00",13
2011,Navegantes,Arrasto duplo,Pescada-amarela,"12.185,00",24
2011,Navegantes,Arrasto duplo,Pescada-branca,"1.100,00",2
2011,Navegantes,Arrasto duplo,Pescadinha-real,"11.160,00",44
2011,Navegantes,Arrasto duplo,Pitú,"68.230,00",119
2011,Navegantes,Arrasto duplo,Polvo,"23.744,00",140
2011,Navegantes,Arrasto duplo,Prego,"20,00",1
2011,Navegantes,Arrasto duplo,Raia,"11.300,00",27
2011,Navegantes,Arrasto duplo,Raia-viola,"4,00",1
2011,Navegantes,Arrasto duplo,Roncador,"40,00",1
2011,Navegantes,Arrasto duplo,Sapateira,"3.517,00",55
2011,Navegantes,Arrasto duplo,Sarrão,"16.115,00",14
2011,Navegantes,Arrasto duplo,Tira-vira,"92.217,00",87
2011,Navegantes,Arrasto duplo,Trilha,"23.485,00",85
2011,Navegantes,Arrasto duplo,Trombeta,"40,00",2
2011,Navegantes,Arrasto duplo,Vieira,"20,00",1
2011,Navegantes,Arrasto simples,Abrótea,"8.520,00",13
2011,Navegantes,Arrasto simples,Bagre,"500,00",3
2011,Navegantes,Arrasto simples,Betara,"420,00",3
2011,Navegantes,Arrasto simples,Cabra,"136.450,00",18
2011,Navegantes,Arrasto simples,Cação-bagre,"500,00",2
2011,Navegantes,Arrasto simples,Cação-gato,"200,00",1
2011,Navegantes,Arrasto simples,Castanha,"2.800.102,00",59
2011,Navegantes,Arrasto simples,Congro-rosa,"500,00",3
2011,Navegantes,Arrasto simples,Corcoroca,"520,00",2
2011,Navegantes,Arrasto simples,Corvina,"29.900,00",15
2011,Navegantes,Arrasto simples,Emplastro,"35.568,00",18
2011,Navegantes,Arrasto simples,Enchova,"165,00",5
2011,Navegantes,Arrasto simples,Enguia,"100,00",1
2011,Navegantes,Arrasto simples,Espada,"3.420,00",10
2011,Navegantes,Arrasto simples,Galo,"2.000,00",1
2011,Navegantes,Arrasto simples,Goete,"7.660,00",10
2011,Navegantes,Arrasto simples,Gordinho,"700,00",3
2011,Navegantes,Arrasto simples,Guaivira,"1.860,00",4
2011,Navegantes,Arrasto simples,Linguado,"5.160,00",12
2011,Navegantes,Arrasto simples,Linguado-areia,"8.600,00",8
2011,Navegantes,Arrasto simples,Lula,"85.847,00",13
2011,Navegantes,Arrasto simples,Mangangá,"550,00",4
2011,Navegantes,Arrasto simples,Maria-mole,"193.900,00",21
2011,Navegantes,Arrasto simples,Merluza,"2.700,00",3
2011,Navegantes,Arrasto simples,Mistura,"16.507,00",9
2011,Navegantes,Arrasto simples,Peixe-porco,"140,00",1
2011,Navegantes,Arrasto simples,Peixe-sapo,"4.522,00",12
2011,Navegantes,Arrasto simples,Pescada,"28.299,00",20
2011,Navegantes,Arrasto simples,Pescada-amarela,"7.000,00",1
2011,Navegantes,Arrasto simples,Polvo,"147,00",4
2011,Navegantes,Arrasto simples,Raia,"2.780,00",3
2011,Navegantes,Arrasto simples,Roncador,"2.600,00",3
2011,Navegantes,Arrasto simples,Tira-vira,"700,00",3
2011,Navegantes,Arrasto simples,Trilha,"1.750,00",4
2011,Porto Belo,Arrasto de parelha,Abrótea,"12.860,00",31
2011,Porto Belo,Arrasto de parelha,Aipim,"400,00",5
2011,Porto Belo,Arrasto de parelha,Bagre,"25.968,00",35
2011,Porto Belo,Arrasto de parelha,Batata-da-pedra,"1.330,00",5
2011,Porto Belo,Arrasto de parelha,Betara,"25.325,00",36
2011,Porto Belo,Arrasto de parelha,Cabra,"53.590,00",34
2011,Porto Belo,Arrasto de parelha,Cação-anjo,"3.740,00",7
2011,Porto Belo,Arrasto de parelha,Cação-martelo,"20,00",1
2011,Porto Belo,Arrasto de parelha,Caçonete,"1.314,00",4
2011,Porto Belo,Arrasto de parelha,Cangoá,"210,00",3
2011,Porto Belo,Arrasto de parelha,Carapau,"280,00",2
2011,Porto Belo,Arrasto de parelha,Carapeba,"11.940,00",19
2011,Porto Belo,Arrasto de parelha,Carapicu,"210,00",4
2011,Porto Belo,Arrasto de parelha,Castanha,"522.438,00",30
2011,Porto Belo,Arrasto de parelha,Cavalinha,"10,00",1
2011,Porto Belo,Arrasto de parelha,Cioba,"420,00",5
2011,Porto Belo,Arrasto de parelha,Corcoroca,"67.280,00",33
2011,Porto Belo,Arrasto de parelha,Corvina,"659.889,00",36
2011,Porto Belo,Arrasto de parelha,Emplastro,"10.402,00",29
2011,Porto Belo,Arrasto de parelha,Enchova,"12.458,00",31
2011,Porto Belo,Arrasto de parelha,Enguia,"980,00",7
2011,Porto Belo,Arrasto de parelha,Espada,"27.690,00",25
2011,Porto Belo,Arrasto de parelha,Galo,"17.647,00",22
2011,Porto Belo,Arrasto de parelha,Garoupa,"182,00",3
2011,Porto Belo,Arrasto de parelha,Goete,"308.891,00",34
2011,Porto Belo,Arrasto de parelha,Gordinho,"47.815,00",34
2011,Porto Belo,Arrasto de parelha,Guaivira,"18.650,00",19
2011,Porto Belo,Arrasto de parelha,Linguado,"16.194,00",30
2011,Porto Belo,Arrasto de parelha,Linguado-areia,"3.031,00",13
2011,Porto Belo,Arrasto de parelha,Linguado-vermelho,"1.756,00",9
2011,Porto Belo,Arrasto de parelha,Lula,"52.442,00",26
2011,Porto Belo,Arrasto de parelha,Mangangá,"7.680,00",15
2011,Porto Belo,Arrasto de parelha,Maria-luiza,"2.060,00",23
2011,Porto Belo,Arrasto de parelha,Maria-mole,"301.085,00",23
2011,Porto Belo,Arrasto de parelha,Marimbá,"1.340,00",13
2011,Porto Belo,Arrasto de parelha,Meca,"139,00",5
2011,Porto Belo,Arrasto de parelha,Merluza,"6.341,00",17
2011,Porto Belo,Arrasto de parelha,Miracéu,"720,00",10
2011,Porto Belo,Arrasto de parelha,Mistura,"20.686,00",33
2011,Porto Belo,Arrasto de parelha,Não discriminado,"50,00",2
2011,Porto Belo,Arrasto de parelha,Olho-de-boi,"1.060,00",2
2011,Porto Belo,Arrasto de parelha,Olho-de-cão,"580,00",11
2011,Porto Belo,Arrasto de parelha,Oveva,"7.070,00",14
2011,Porto Belo,Arrasto de parelha,Palombeta,"16.830,00",22
2011,Porto Belo,Arrasto de parelha,Pampo,"1.324,00",19
2011,Porto Belo,Arrasto de parelha,Pargo-rosa,"430,00",10
2011,Porto Belo,Arrasto de parelha,Paru,"8.250,00",19
2011,Porto Belo,Arrasto de parelha,Peixe-porco,"22.055,00",33
