Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2009,Itajaí,Arrasto duplo,Papa-moscas,"12.200,00",4
2009,Itajaí,Arrasto duplo,Pargo-rosa,"380,00",4
2009,Itajaí,Arrasto duplo,Peixe-porco,"341.680,00",66
2009,Itajaí,Arrasto duplo,Peixe-sapo,"354.302,00",189
2009,Itajaí,Arrasto duplo,Pescada,"6.727,00",8
2009,Itajaí,Arrasto duplo,Pescada-amarela,"27.507,00",21
2009,Itajaí,Arrasto duplo,Pescada-branca,"2.319,00",3
2009,Itajaí,Arrasto duplo,Pescada-cambucu,"1,00",1
2009,Itajaí,Arrasto duplo,Pescadinha-real,"11.380,00",17
2009,Itajaí,Arrasto duplo,Pitú,"17.520,00",34
2009,Itajaí,Arrasto duplo,Polvo,"51.074,00",137
2009,Itajaí,Arrasto duplo,Raia,"14.754,00",26
2009,Itajaí,Arrasto duplo,Ratinho,"340,00",6
2009,Itajaí,Arrasto duplo,Sapateira,"6.405,00",35
2009,Itajaí,Arrasto duplo,Sarrão,"5.260,00",12
2009,Itajaí,Arrasto duplo,Tira-vira,"153.050,00",95
2009,Itajaí,Arrasto duplo,Trilha,"27.715,00",69
2009,Itajaí,Arrasto duplo,Trombeta,"100,00",3
2009,Itajaí,Arrasto duplo,Vieira,"40,00",1
2009,Itajaí,Arrasto simples,Abrótea,"35.980,00",48
2009,Itajaí,Arrasto simples,Abrótea-de-fundo,"46.220,00",23
2009,Itajaí,Arrasto simples,Bagre,"2.105,00",9
2009,Itajaí,Arrasto simples,Baiacú,"116,00",1
2009,Itajaí,Arrasto simples,Batata,"678,00",6
2009,Itajaí,Arrasto simples,Betara,"6.540,00",13
2009,Itajaí,Arrasto simples,Cabra,"2.132.440,00",79
2009,Itajaí,Arrasto simples,Cação-anjo,"1.873,00",4
2009,Itajaí,Arrasto simples,Cação-bagre,"400,00",1
2009,Itajaí,Arrasto simples,Cação-cabeca-chata,"60,00",1
2009,Itajaí,Arrasto simples,Cação-gato,"2.960,00",10
2009,Itajaí,Arrasto simples,Cação-martelo,"20,00",1
2009,Itajaí,Arrasto simples,Cações,"376,00",4
2009,Itajaí,Arrasto simples,Caçonete,"1.560,00",4
2009,Itajaí,Arrasto simples,Cangoá,"20,00",1
2009,Itajaí,Arrasto simples,Castanha,"576.460,00",73
2009,Itajaí,Arrasto simples,Cherne,"200,00",1
2009,Itajaí,Arrasto simples,Congro,"529,00",3
2009,Itajaí,Arrasto simples,Congro-rosa,"7.174,00",23
2009,Itajaí,Arrasto simples,Corcoroca,"150,00",2
2009,Itajaí,Arrasto simples,Corvina,"64.748,00",43
2009,Itajaí,Arrasto simples,Emplastro,"243.517,00",74
2009,Itajaí,Arrasto simples,Enchova,"10.540,00",8
2009,Itajaí,Arrasto simples,Enguia,"1.900,00",32
2009,Itajaí,Arrasto simples,Espada,"21.790,00",46
2009,Itajaí,Arrasto simples,Galo,"100,00",1
2009,Itajaí,Arrasto simples,Galo-de-profundidade,"60,00",2
2009,Itajaí,Arrasto simples,Goete,"16.893,00",34
2009,Itajaí,Arrasto simples,Gordinho,"1.540,00",11
2009,Itajaí,Arrasto simples,Guaivira,"390,00",4
2009,Itajaí,Arrasto simples,Linguado,"39.000,00",23
2009,Itajaí,Arrasto simples,Linguado-areia,"145.960,00",69
2009,Itajaí,Arrasto simples,Lula,"82.833,00",13
2009,Itajaí,Arrasto simples,Mangangá,"6.120,00",24
2009,Itajaí,Arrasto simples,Maria-luiza,"280,00",4
2009,Itajaí,Arrasto simples,Maria-mole,"206.060,00",51
2009,Itajaí,Arrasto simples,Merluza,"79.480,00",59
2009,Itajaí,Arrasto simples,Mistura,"180.510,00",84
2009,Itajaí,Arrasto simples,Namorado,"630,00",4
2009,Itajaí,Arrasto simples,Olho-de-cão,"300,00",1
2009,Itajaí,Arrasto simples,Palombeta,"700,00",2
2009,Itajaí,Arrasto simples,Papa-moscas,"400,00",3
2009,Itajaí,Arrasto simples,Pargo-rosa,"640,00",11
2009,Itajaí,Arrasto simples,Peixe-porco,"557,00",4
2009,Itajaí,Arrasto simples,Peixe-sapo,"42.635,00",55
2009,Itajaí,Arrasto simples,Polvo,"3.823,00",18
2009,Itajaí,Arrasto simples,Raia,"4.577,00",14
2009,Itajaí,Arrasto simples,Raia-viola,"2.636,00",4
2009,Itajaí,Arrasto simples,Ratinho,"860,00",5
2009,Itajaí,Arrasto simples,Sapateira,"45,00",2
2009,Itajaí,Arrasto simples,Tira-vira,"18.780,00",34
2009,Itajaí,Arrasto simples,Trilha,"23.930,00",46
2009,Laguna,Arrasto de parelha,Abrótea,"107.590,00",54
2009,Laguna,Arrasto de parelha,Bagre,"1.500,00",2
2009,Laguna,Arrasto de parelha,Betara,"26.300,00",32
2009,Laguna,Arrasto de parelha,Cabra,"19.580,00",16
2009,Laguna,Arrasto de parelha,Castanha,"99.640,00",34
2009,Laguna,Arrasto de parelha,Congro-rosa,"1.000,00",1
2009,Laguna,Arrasto de parelha,Corcoroca,"420,00",2
2009,Laguna,Arrasto de parelha,Corvina,"407.460,00",57
2009,Laguna,Arrasto de parelha,Emplastro,"90.000,00",42
2009,Laguna,Arrasto de parelha,Espada,"47.280,00",44
2009,Laguna,Arrasto de parelha,Goete,"11.600,00",8
2009,Laguna,Arrasto de parelha,Gordinho,"10.160,00",19
2009,Laguna,Arrasto de parelha,Linguado,"46.600,00",48
2009,Laguna,Arrasto de parelha,Linguado-vermelho,"10.600,00",21
2009,Laguna,Arrasto de parelha,Mangangá,"2.600,00",3
2009,Laguna,Arrasto de parelha,Maria-luiza,"5.500,00",3
2009,Laguna,Arrasto de parelha,Maria-mole,"376.520,00",48
